,NodeName,Name,SharedName,Core,TotalRelativeabundance,TotalOcurrence,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Locus,size,Taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,Species,Month
1,nov_BacV5_Otu_000002,BacV5_Otu_000002,BacV5_Otu_000002,yes,0.099482087,0.995145631,0.165845624,0.092259538,0.0475142,1,0.985714286,1,BacV5,247576,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__adhaesivum(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__adhaesivum,nov
2,nov_BacV5_Otu_000003,BacV5_Otu_000003,BacV5_Otu_000003,yes,0.103233575,1,0.092515726,0.139247369,0.077747139,1,1,1,BacV5,246897,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(74);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
3,nov_BacV5_Otu_000004,BacV5_Otu_000004,BacV5_Otu_000004,yes,0.066307139,0.995145631,0.043224127,0.038823534,0.113545544,1,0.985714286,1,BacV5,207303,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(72);f__Oxalobacteraceae_unclassified(72);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
4,nov_BacV5_Otu_000005,BacV5_Otu_000005,BacV5_Otu_000005,yes,0.053915291,0.995145631,0.054096378,0.046318833,0.061139769,0.984375,1,1,BacV5,145740,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Rathayibacter(70);s__caricis(70);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Rathayibacter,s__caricis,nov
5,nov_BacV5_Otu_000006,BacV5_Otu_000006,BacV5_Otu_000006,no,0.044174682,0.72815534,0.038864447,0.005438825,0.086554751,0.65625,0.528571429,0.986111111,BacV5,128467,k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Bacillaceae(100);g__Bacillus(99);g__Bacillus_unclassified(88);,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,g__Bacillus_unclassified,nov
6,nov_BacV5_Otu_000007,BacV5_Otu_000007,BacV5_Otu_000007,yes,0.039307984,0.995145631,0.060009118,0.04022802,0.020012497,1,0.985714286,1,BacV5,96118,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(77);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
7,nov_BacV5_Otu_000008,BacV5_Otu_000008,BacV5_Otu_000008,yes,0.026232262,0.995145631,0.009011163,0.026459856,0.041318633,0.984375,1,1,BacV5,96102,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Pseudomonadaceae(100);g__Pseudomonas(100);g__Pseudomonas_unclassified(76);,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,g__Pseudomonas_unclassified,nov
8,nov_BacV5_Otu_000009,BacV5_Otu_000009,BacV5_Otu_000009,no,0.02897925,0.810679612,0.00922617,0.068883227,0.007742011,0.703125,0.842857143,0.875,BacV5,95683,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Pseudomonadaceae(100);g__Pseudomonas(100);s__viridiflava(88);,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__viridiflava,nov
9,nov_BacV5_Otu_000010,BacV5_Otu_000010,BacV5_Otu_000010,yes,0.030679377,0.995145631,0.045051559,0.033067396,0.01558242,1,1,0.986111111,BacV5,71249,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Variovorax(63);s__paradoxus(58);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,s__paradoxus,nov
10,nov_BacV5_Otu_000011,BacV5_Otu_000011,BacV5_Otu_000011,yes,0.020365568,1,0.019407747,0.016083747,0.025379846,1,1,1,BacV5,60309,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(79);f__Oxalobacteraceae_unclassified(79);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
11,nov_BacV5_Otu_000012,BacV5_Otu_000012,BacV5_Otu_000012,yes,0.012348518,0.995145631,0.004524464,0.003657147,0.027753177,1,0.985714286,1,BacV5,40506,k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Bacillaceae(99);g__Bacillus(97);g__Bacillus_unclassified(56);,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,g__Bacillus_unclassified,nov
12,nov_BacV5_Otu_000013,BacV5_Otu_000013,BacV5_Otu_000013,yes,0.01363068,0.995145631,0.007841598,0.013723909,0.018685893,1,0.985714286,1,BacV5,40157,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Marmoricola(100);s__korecus(68);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Marmoricola,s__korecus,nov
13,nov_BacV5_Otu_000014,BacV5_Otu_000014,BacV5_Otu_000014,no,0.015215499,0.970873786,0.017710489,0.018465286,0.009838216,0.984375,0.942857143,0.986111111,BacV5,38574,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__echinoides(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__echinoides,nov
14,nov_BacV5_Otu_000015,BacV5_Otu_000015,BacV5_Otu_000015,yes,0.013264801,0.995145631,0.013668025,0.01065854,0.015440244,1,0.985714286,1,BacV5,34926,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Aeromicrobium(100);g__Aeromicrobium_unclassified(100);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Aeromicrobium,g__Aeromicrobium_unclassified,nov
15,nov_BacV5_Otu_000016,BacV5_Otu_000016,BacV5_Otu_000016,no,0.014165973,0.966019417,0.010041649,0.015044237,0.01697817,0.984375,0.985714286,0.930555556,BacV5,34436,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(90);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__asaccharolytica,nov
16,nov_BacV5_Otu_000022,BacV5_Otu_000022,BacV5_Otu_000022,no,0.008370259,0.902912621,0.003066222,0.016067537,0.005601493,0.8125,0.957142857,0.930555556,BacV5,21018,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);f__Microbacteriaceae_unclassified(95);f__Microbacteriaceae_unclassified(95);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,f__Microbacteriaceae_unclassified,f__Microbacteriaceae_unclassified,nov
17,nov_BacV5_Otu_000025,BacV5_Otu_000025,BacV5_Otu_000025,no,0.007516672,0.966019417,0.013665274,0.004015927,0.00545475,0.96875,0.942857143,0.986111111,BacV5,18733,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(97);g__Agrobacterium(55);g__Agrobacterium_unclassified(55);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,g__Agrobacterium_unclassified,nov
18,nov_BacV5_Otu_000027,BacV5_Otu_000027,BacV5_Otu_000027,no,0.005273519,0.961165049,0.002541831,0.002371438,0.010523153,0.984375,0.9,1,BacV5,17690,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(59);f__Oxalobacteraceae_unclassified(59);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
